SMILES,IC50
C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,11.58058432
C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O,11.6
C1C=CC(=O)OC1C2C(O2)C3=CC=CC=C3,11.60800999
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,11.6268108
CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=CC=C3)OC)OC)C,11.63450624
CC(=CCC1=C2C(=C(C=C1OC)OC)C(=O)CC(O2)C3=CC=CC=C3)C,11.63450624
CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O,11.67315175
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,11.69
CC1(CCC2C(=C1)C(=O)CC3C2(CCCC3(C)C(=O)O)C)C=C,11.7
CC(=CCNC1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)C,11.7
CC1(C2CC(=O)C3(C1C(C(=O)C4C3CCC(C4)C(=C)C=O)O)CO2)C,11.7
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,11.71097318
COC1=C(C=C(C=C1)CCCO)OC,11.75
CCCCCCC=CCCCCCCCCCC1(CC(C(=O)C=C1)O)O,11.79374657
CC(=CCC1=C(C=CC2=C1OCC3C2OC4=C3C=CC5=C4C=CC(O5)(C)C)O)C,11.8
CC1C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)C)C)OC11C(CC(CN1)COC1C(C(C(C(O1)CO)O)O)O)OC(=O)C,11.80730479
CCCCCCCCCCCCC(C1CCC(O1)C(CCCCC(CCCCCC(CC2=CC(OC2=O)C)O)O)O)O,11.82
CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CC=C(C)C)O)C,11.83148335
C=CCCCCCCCCCCCC(CC(CO)O)O,11.87150838
CC(C)C12CCC3(C(=C1)C(CC4C3(CCCC4(C)COC(=O)C)C)OC(=O)C)OO2,11.89060642
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O,11.90343547
CC1CC2C(OC3(C1C4(CCC5=C(C4(C3O)C)CCC6C(C7CCC6(C5)O7)(C)C)C)O2)C(C)(C)O,11.96
C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)C4C(OC5=CC(=CC(=C5C4=O)O)O)C6=CC=C(C=C6)O)O,11.97
C1=CC=C(C=C1)CCC(=O)C2=C(C=C(C=C2)O)O,12
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,12
COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,12
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,12
